3	1	-0.879601	0.12049	-0.4602	VandeGraaff	范德格拉夫
2	1	-0.359186	0.624643	-0.693402	VanderWaals	范德瓦耳斯
3	1	-0.31189	-0.34883	0.883766	van'tHoff	范托夫
3	1	0.226899	0.864887	-0.447759	Phillips	菲利普斯
3	1	-0.361269	-0.375414	-0.853551	Fizeau	斐索
3	1	-0.508492	0.795107	-0.330514	Fermi	费米
2	1	-0.556756	-0.766309	0.320613	Fersman	费斯曼
3	1	-0.294677	0.422409	-0.857167	Fechner	费希纳
3	1	0.0697318	0.127579	-0.989374	vonBaeyer	冯·拜耳
3	1	-0.369619	0.49408	0.786935	vonBekesy	冯·贝凯西
3	1	-0.707755	0.0507326	-0.704634	VonKarman	冯·卡门
3	1	-0.679738	0.343361	0.64812	VonNeumann	冯·诺伊曼
3	1	0.77854	0.509462	-0.366501	Fracastorius	弗拉卡斯托罗
3	1	0.465752	0.374474	-0.801776	Vlacq	弗拉克
3	1	0.996159	-0.0644187	-0.0593064	Flammarion	弗拉马里翁
3	1	-0.324021	0.909958	0.258819	Fleming	弗莱明
1	1	-0.573629	-0.789533	-0.218143	Fridman	弗里德曼
3	1	-0.89515	0.141778	0.422618	Freundlich	弗罗因德利希
3	1	0.550569	-0.712353	0.435231	Freud	弗洛伊德
3	1	0.0574955	-0.586384	0.80799	Volta	伏打
3	1	-0.60587	-0.424235	0.673012	Fowler	福勒
2	1	0.519604	-0.689538	-0.504528	Fourier	傅立叶
3	1	0.524504	0.576423	0.626604	Franklin	富兰克林
3	1	-0.452639	0.869511	0.197657	Guyot	盖奥特
2	1	0.154953	0.797163	0.583541	Gauss	高斯
3	1	0.0168734	0.966676	0.255446	Goddard	戈达德
3	1	0.925668	-0.338747	0.168489	Copernicus	哥白尼
3	1	0.673094	0.692158	-0.260505	Colombo	哥伦布
3	1	-0.496308	-0.776055	-0.389124	Gerasimovich	格拉西莫维奇
3	1	0.368044	-0.924855	-0.0958458	Grimaldi	格里马尔迪
3	1	0.422715	0.291611	0.858065	Gartner	格特纳
3	1	0.743955	0.651283	-0.149535	Gutenberg	谷登堡
3	1	0.0501055	0.925173	0.376224	Hubble	哈勃
3	1	0.241249	0.819694	0.519519	Hahn	哈恩
3	1	0.753338	-0.0184112	-0.657375	Huggins	哈金斯
3	1	0.985372	0.0983532	-0.139173	Halley	哈雷
2	1	0.164113	-0.980701	-0.106264	Hartwig	哈特维希
3	1	0.402282	0.772776	-0.490904	Hase	哈泽
3	1	-0.00380164	0.272254	-0.962218	Hale	海尔
3	1	0.0357604	0.425859	0.904083	Hayn	海因
3	1	0.735097	-0.234599	-0.636078	Heinsius	海因修斯
3	1	0.162922	0.335524	-0.927836	Helmholtz	亥姆霍兹
3	1	-0.958747	0.219582	-0.180519	Heaviside	亥维赛
